program,f01_totalBasicBlocks,f02_oneSuccessor,f03_twoSuccessor,f04_greaterTwoSuccessor,f05_onePredecessor,f06_twoPredecessor,f07_greaterTwoPredecessor,f08_onePredSuc,f09_onePred_twoSuc,f10_twoPred_oneSuc,f11_twoPredSuc,f12_greaterTwoPredSuc,f13_instructionLess15,f14_instructionInterval,f15_instructionGreater500,f16_numOfEdges,f17_numOfCriticalEdges,f18_abnormalEdge,f19_directCalls,f20_condBranch,f21_assigmentInstructions,f22_uncondBranch,f23_numOfIntOperations,f24_numOfFloatOperations,f25_numInstructions,f26_instructionAverage,f27_averagePhi,f28_averagePhiArgs,f29_blockWithoutPhi,f30_blockPhiIntervalNodes,f31_blockPhiGreater3Nodes,f32_blocksPhiGreater5Arg,f33_blocksPhiIntervalArg,f34_numOfSwitchInstruction,f35_numOfUnaryOperations,f36_ptrArithmetic,f37_indirectRefs,f38_addresVar,f39_addressFunction,f40_indirectCalls,f41_leftOpIntConst,f42_oneOperandConst,f43_callArgPtrType,f44_call4args,f45_ptrRetCallType,f46_intRetCallType,f47_constInt0,f48_constInt32bits,f49_constInt1,f50_constInt64bits,f51_numRefeOfLocalVar,f52_defUseCounter,f53_refLocalVariable,f54_refExterVariable,f55_localPtrVar,f56_staticPtrVar
510.parest_r,76825,24187,43839,561,45101,21229,6761,17954,23075,4452,14454,13,72707,4116,2,114037,44749,14497,35742,29342,276939,24187,36439,3695,407457,27827.74244,586.56331,4816.580095,62038,76222,603,2287,12500,561,884,0,12574,7159,16,1489,4219,23493,30512,203,2749,1798,72797,72880,38555,94954,451126,5261,274741,3277,120464,0
526.blender_r,253819,81696,133526,3445,126878,67415,24577,64218,60587,11803,46687,259,237096,16717,6,366440,157866,83,170528,133443,1086061,81696,94887,32317,1565611,262470.5616,3565.932736,28597.89964,203709,251325,2494,8851,41259,3445,2930,0,33106,14443,7159,14763,12346,71096,140094,13338,32873,21995,322792,368564,103504,359581,1640134,54382,1075944,39599,474601,10083
557.xz_r,3052,1184,1591,45,1777,777,290,940,794,175,526,1,2728,324,0,4690,1729,0,1035,1591,16436,1184,4232,0,21860,1324.627321,53.148997,453.895333,2226,2911,141,314,512,45,0,0,220,122,38,58,316,2329,611,70,65,629,3574,5663,1555,4705,27387,376,16296,179,3809,27
631.deepsjeng_s,2157,774,1257,37,1302,542,225,633,640,92,415,2,1975,182,0,3449,1373,0,868,1257,11012,774,3032,24,14369,774.325337,20.350956,168.87442,1615,2132,25,100,442,37,0,0,1,1,0,0,217,1689,597,93,14,510,2814,3615,766,3157,16311,832,10969,343,1879,4
619.lbm_s,104,41,42,1,52,35,2,21,16,11,21,0,92,12,0,128,35,0,173,42,1662,41,320,421,1907,339.606273,5.407575,20.357143,80,102,2,2,22,1,8,0,8,6,0,0,26,294,76,4,4,28,92,71,81,458,2473,40,1640,23,318,21
620.omnetpp_s,48401,16867,22522,696,28506,11010,3527,13404,12035,2502,5817,14,47110,1291,0,65532,20159,6169,27467,16353,133073,16867,5892,375,212559,23968.11669,606.03865,6240.944393,41411,48243,158,685,6305,696,13,0,6288,4718,2,6590,2410,3782,23461,512,7683,6789,32950,34829,12587,45436,202751,12964,129275,8322,77047,1635
541.leela_r,2894,975,1562,24,1625,808,239,736,796,158,522,0,2731,163,0,4173,1573,287,1432,1275,10167,975,1452,25,15325,1562.233115,42.46305,284.714808,2369,2876,18,111,414,24,1,0,449,344,0,38,174,835,1252,16,120,291,3695,3496,1342,3959,16143,212,10103,139,4045,8
525.x264_r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
641.leela_s,2894,975,1562,24,1625,808,239,736,796,158,522,0,2731,163,0,4173,1573,287,1432,1275,10167,975,1452,25,15325,1562.233115,42.46305,284.714808,2369,2876,18,111,414,24,1,0,449,344,0,38,174,835,1252,16,120,291,3695,3496,1342,3959,16143,212,10103,139,4045,8
602.gcc_s,294285,94284,180238,8533,176965,75942,30329,69107,104154,17671,51782,1301,287171,7108,6,522786,251537,0,156241,180238,1011760,94284,116075,102,1423172,70399.95728,2191.894203,23946.73659,238555,292369,1916,9385,46345,8533,1,0,32468,26061,238,3325,12023,95376,138898,7477,45986,56973,271557,451048,123655,234535,1402919,115928,998436,38248,394679,23554
605.mcf_s,719,202,486,2,380,225,87,130,247,37,175,0,654,65,0,1181,599,0,197,486,3489,202,688,2,4730,181.178584,10.58724,53.586677,484,706,13,81,154,2,0,0,118,106,0,25,94,393,136,7,22,135,578,478,314,1300,6119,68,3446,44,1228,17
511.povray_r,24744,10371,12508,479,14859,6483,2083,8008,6570,1408,4363,30,22776,1968,0,39805,14575,111,19819,12397,115497,10371,8990,7492,161979,15642.26367,305.819098,2434.034825,19735,24368,376,1202,3807,479,959,0,2297,1360,31,200,1614,7286,10966,669,1676,3724,24929,31553,12415,34495,191932,11074,113527,3449,32546,1462
623.xalancbmk_s,118118,32552,64941,751,68220,30401,8752,23506,35499,6510,19629,36,112675,5443,0,166214,65442,18673,40277,46268,414777,32552,31439,173,608565,50490.57534,1335.295254,10069.46935,95136,117969,149,3541,19441,751,1,0,24863,17512,0,13567,6556,24095,36921,1360,11571,5731,102800,104854,40935,139240,620810,14490,411718,7547,241929,1531
657.xz_s,3052,1184,1591,45,1777,777,290,940,794,175,526,1,2728,324,0,4690,1729,0,1035,1591,16436,1184,4232,0,21860,1324.627321,53.148997,453.895333,2226,2911,141,314,512,45,0,0,220,122,38,58,316,2329,611,70,65,629,3574,5663,1555,4705,27387,376,16296,179,3809,27
